household_key,store_id,week_no,last_purchase_day_week,total_sales,total_disc,num_orders,total_qty,overall_weekly_purchase,frac_share,overall_market_share,if_churn,row_id,three_weeks_sales,three_weeks_disc,three_weeks_freq,five_weeks_sales,five_weeks_disc,five_weeks_freq,weeklag
2,401,15,103,22.7,-16.77,1,10,22.7,1,0.41,0,1,0,0,0,0,0,0,0
2,401,17,112,4.38,-0.9,1,2,17.22,0.25,0.41,0,2,27.08,-17.67,0.666666667,27.08,-17.67,0.4,2
2,401,18,118,30.85,-7.3,1,38,57.79,0.53,0.41,1,3,57.93,-24.97,1,57.93,-24.97,0.6,1
2,401,21,140,66.69,-13.84,2,33,66.69,1,0.41,1,4,97.54,-21.14,1,101.92,-22.04,0.8,3
2,401,24,161,17.27,-4.38,1,9,190.28,0.09,0.41,0,5,83.96,-18.22,1,83.96,-18.22,0.6,3
2,401,25,170,15.57,-7.71,2,7,15.57,1,0.41,0,6,32.84,-12.09,1,99.53,-25.93,1,1
2,401,27,187,51.3,-0.2,1,9,51.3,1,0.41,0,7,84.14,-12.29,1.333333333,84.14,-12.29,0.8,2
2,401,28,194,21.08,-1.75,1,7,21.08,1,0.41,0,8,87.95,-9.66,1.333333333,105.22,-14.04,1,1
2,401,30,207,15.85,-3.98,1,6,67.63,0.23,0.41,0,9,88.23,-5.93,1,103.8,-13.64,1,2
2,401,32,222,19.7,-1.75,1,6,19.7,1,0.41,1,10,35.55,-5.73,0.666666667,107.93,-7.68,0.8,2
2,401,35,239,35.48,-7.92,1,13,35.48,1,0.41,1,11,55.18,-9.67,0.666666667,71.03,-13.65,0.6,3
2,401,38,263,128.71,-12.73,2,58,128.71,1,0.41,1,12,164.19,-20.65,1,164.19,-20.65,0.6,3
2,401,42,291,23.41,-0.25,1,6,23.41,1,0.41,1,13,23.41,-0.25,0.333333333,152.12,-12.98,0.6,4
2,401,46,318,57.38,-15.04,1,23,57.38,1,0.41,1,14,57.38,-15.04,0.333333333,80.79,-15.29,0.4,4
2,401,49,335,94.59,-8.39,1,30,94.59,1,0.41,0,15,151.97,-23.43,0.666666667,151.97,-23.43,0.4,3
2,401,50,345,15.48,-1.29,1,7,15.48,1,0.41,1,16,110.07,-9.68,0.666666667,167.45,-24.72,0.6,1
2,401,60,415,44.2,-12.77,1,11,44.2,1,0.41,0,17,44.2,-12.77,0.333333333,44.2,-12.77,0.2,10
2,401,61,423,17.99,0,1,1,17.99,1,0.41,0,18,62.19,-12.77,0.666666667,62.19,-12.77,0.4,1
2,401,62,432,10.59,-3.48,1,5,10.59,1,0.41,1,19,72.78,-16.25,1,72.78,-16.25,0.6,1
2,401,84,583,84.59,-15.24,1,38,84.59,1,0.41,0,20,128.83,-24.02,0.666666667,128.83,-24.02,0.4,22
2,401,85,593,11.57,-0.4,1,3,11.57,1,0.41,1,21,140.4,-24.42,1,140.4,-24.42,0.6,1
2,401,88,608,3.49,0,1,1,95.51,0.04,0.41,0,22,107.08,-15.01,1,235.91,-39.03,1,3
2,31782,67,463,64.31,-15.46,2,30,64.31,1,0.34,0,1,0,0,0,0,0,0,0
2,31782,69,478,110.69,-29.1,1,44,110.69,1,0.34,0,2,175,-44.56,1,175,-44.56,0.6,2
2,31782,70,482,69.86,-2.41,1,26,69.86,1,0.34,0,3,244.86,-46.97,1.333333333,244.86,-46.97,0.8,1
2,31782,71,489,77.41,-8.52,1,39,77.41,1,0.34,1,4,257.96,-40.03,1,322.27,-55.49,1,1
2,31782,78,542,107.52,-10.53,1,42,107.52,1,0.34,1,5,107.52,-10.53,0.333333333,107.52,-10.53,0.2,7
2,31782,83,578,44.24,-8.78,1,17,44.24,1,0.34,1,6,44.24,-8.78,0.333333333,151.76,-19.31,0.4,5
2,31782,88,614,92.02,-14.61,1,38,95.51,0.96,0.34,0,7,107.08,-15.01,1,235.91,-39.03,1,5
2,31782,89,620,12,-1.56,1,4,12,1,0.34,0,8,107.51,-16.17,1,203.67,-31.81,1,1
2,31782,90,622,82.78,-12.87,1,41,82.78,1,0.34,0,9,190.29,-29.04,1.333333333,201.86,-29.44,1,1
3,401,17,113,46.81,-7.12,1,22,46.81,1,0.91,0,1,0,0,0,0,0,0,0
3,401,18,121,21.45,-1.46,1,10,21.45,1,0.91,0,2,68.26,-8.58,0.666666667,68.26,-8.58,0.4,1
3,401,20,136,74.43,-46.22,1,84,74.43,1,0.91,0,3,142.69,-54.8,1,142.69,-54.8,0.6,2
3,401,21,142,139.32,-43.74,3,58,139.32,1,0.91,1,4,235.2,-91.42,1.666666667,282.01,-98.54,1.2,1
3,401,24,166,64.84,-16.19,2,35,64.84,1,0.91,0,5,204.16,-59.93,1.666666667,278.59,-106.15,1.2,3
3,401,25,173,117.73,-25.34,2,69,117.73,1,0.91,0,6,182.57,-41.53,1.333333333,396.32,-131.49,1.6,1
3,401,27,186,136.51,-33.81,2,91,136.51,1,0.91,0,7,319.08,-75.34,2,319.08,-75.34,1.2,2
3,401,28,194,225.71,-77.27,1,118,225.71,1,0.91,0,8,479.95,-136.42,1.666666667,544.79,-152.61,1.4,1
3,401,30,206,78.88,-19.42,1,56,78.88,1,0.91,0,9,441.1,-130.5,1.333333333,558.83,-155.84,1.2,2
3,401,32,219,31.28,-5.54,2,12,31.28,1,0.91,0,10,110.16,-24.96,1,472.38,-136.04,1.2,2
3,401,33,229,225.66,-56.13,2,148,225.66,1,0.91,0,11,335.82,-81.09,1.666666667,561.53,-158.36,1.2,1
3,401,35,243,68,-25.91,2,25,68,1,0.91,0,12,324.94,-87.58,2,403.82,-107,1.4,2
3,401,36,248,72.49,-15.78,2,51,72.49,1,0.91,0,13,366.15,-97.82,2,397.43,-103.36,1.6,1
3,401,37,253,55.42,-5.49,1,38,55.42,1,0.91,0,14,195.91,-47.18,1.666666667,452.85,-108.85,1.8,1
3,401,38,260,184.17,-38.57,1,104,184.17,1,0.91,0,15,380.08,-85.75,2,605.74,-141.88,1.6,1
3,401,39,266,24.97,-6.1,1,14,24.97,1,0.91,1,16,337.05,-65.94,1.666666667,405.05,-91.85,1.4,1
3,401,42,291,16.72,-4.79,1,4,16.72,1,0.91,0,17,41.69,-10.89,0.666666667,281.28,-54.95,0.8,3
3,401,44,304,18.67,-0.78,1,7,18.67,1,0.91,0,18,35.39,-5.57,0.666666667,60.36,-11.67,0.6,2
3,401,46,320,286.26,-79.53,1,173,286.26,1,0.91,1,19,304.93,-80.31,0.666666667,321.65,-85.1,0.6,2
3,401,52,360,124.71,-24.88,1,70,124.71,1,0.91,0,20,124.71,-24.88,0.333333333,124.71,-24.88,0.2,6
3,401,53,366,53.45,-14.47,1,43,53.45,1,0.91,0,21,178.16,-39.35,0.666666667,178.16,-39.35,0.4,1
3,401,54,373,3.52,-2.84,1,4,3.52,1,0.91,1,22,181.68,-42.19,1,181.68,-42.19,0.6,1
3,401,57,394,23.3,-5.48,1,13,23.3,1,0.91,0,23,26.82,-8.32,0.666666667,204.98,-47.67,0.8,3
3,401,59,407,66.5,-12.55,1,51,66.5,1,0.91,0,24,89.8,-18.03,0.666666667,93.32,-20.87,0.6,2
3,401,61,422,64.97,-18.87,1,41,64.97,1,0.91,0,25,131.47,-31.42,0.666666667,154.77,-36.9,0.6,2
3,401,62,432,4.49,-2.09,1,2,4.49,1,0.91,0,26,135.96,-33.51,1,159.26,-38.99,0.8,1
3,401,63,437,13.52,-3.04,1,4,13.52,1,0.91,0,27,82.98,-24,1,149.48,-36.55,0.8,1
3,401,65,448,38.56,-8.63,1,20,38.56,1,0.91,0,28,56.57,-13.76,1,121.54,-32.63,0.8,2
3,401,67,466,99.71,-26.57,2,47,99.71,1,0.91,1,29,138.27,-35.2,1,156.28,-40.33,1,2
3,401,92,640,39.32,-7.78,1,31,39.32,1,0.91,0,30,39.32,-7.78,0.333333333,39.32,-7.78,0.2,25
4,298,16,104,126.24,-27.41,1,53,126.24,1,0.81,1,1,0,0,0,0,0,0,0
4,298,21,140,123.78,-5.66,1,37,123.78,1,0.81,0,2,123.78,-5.66,0.333333333,250.02,-33.07,0.4,5
4,298,23,154,31.75,-0.66,1,9,31.75,1,0.81,1,3,155.53,-6.32,0.666666667,155.53,-6.32,0.4,2
4,298,27,181,62.59,-2.09,1,7,62.59,1,0.81,0,4,62.59,-2.09,0.333333333,94.34,-2.75,0.4,4
4,298,28,190,7.34,-1.2,1,6,7.34,1,0.81,0,5,69.93,-3.29,0.666666667,101.68,-3.95,0.6,1
4,298,29,199,116.73,-8.78,1,42,116.73,1,0.81,1,6,186.66,-12.07,1,186.66,-12.07,0.6,1
4,298,32,216,68.59,-8.06,1,25,68.59,1,0.81,0,7,185.32,-16.84,0.666666667,255.25,-20.13,0.8,3
4,298,34,231,20.17,-3.16,1,11,20.17,1,0.81,0,8,88.76,-11.22,0.666666667,205.49,-20,0.6,2
4,298,36,248,100.09,-6.64,2,25,100.09,1,0.81,0,9,120.26,-9.8,1,188.85,-17.86,0.8,2
4,298,37,251,25.84,-2.06,1,11,25.84,1,0.81,0,10,146.1,-11.86,1.333333333,214.69,-19.92,1,1
4,298,38,264,74.85,-8.15,1,12,74.85,1,0.81,1,11,200.78,-16.85,1.333333333,220.95,-20.01,1,1
4,298,42,292,96.12,-6.93,2,21,96.12,1,0.81,0,12,96.12,-6.93,0.666666667,196.81,-17.14,0.8,4
4,298,44,302,29.33,-2.83,1,9,29.33,1,0.81,1,13,125.45,-9.76,1,125.45,-9.76,0.6,2
4,298,47,321,18.08,-2.29,1,7,18.08,1,0.81,0,14,47.41,-5.12,0.666666667,143.53,-12.05,0.8,3
4,298,48,328,26.53,-4.77,1,10,26.53,1,0.81,0,15,44.61,-7.06,0.666666667,73.94,-9.89,0.6,1
4,298,49,341,29.85,-3.67,1,9,29.85,1,0.81,0,16,74.46,-10.73,1,103.79,-13.56,0.8,1
4,298,51,354,3.29,0,1,1,3.29,1,0.81,0,17,59.67,-8.44,1,77.75,-10.73,0.8,2
4,298,52,357,9.37,-1.7,1,3,19.04,0.49,0.81,0,18,42.51,-5.37,1,87.12,-12.43,1,1
